title,SKU,Price,Sale Price,DISCOUNT,Currency,price,availability,condition,description,link,image_link
Hb,RKHS-1001,₹180.00,₹144.00,20%,INR,180 INR,in stock,new,Hb,[link removed],[link removed]
CBC-,RKHS-1002,₹300.00,₹240.00,20%,INR,300 INR,in stock,new,CBC-,[link removed],[link removed]
CBC ESR - Kolkata / HYD -,RKHS-1003,₹250.00,₹200.00,20%,INR,250 INR,in stock,new,CBC ESR - Kolkata / HYD -,[link removed],[link removed]
Platelet Count (Manual) -,RKHS-1004,₹180.00,₹144.00,20%,INR,180 INR,in stock,new,Platelet Count (Manual) -,[link removed],[link removed]
Hb TC DC ESR,RKHS-1005,₹150.00,₹120.00,20%,INR,150 INR,in stock,new,Hb TC DC ESR,[link removed],[link removed]
Malaria Parasites -,RKHS-1006,₹375.00,₹300.00,20%,INR,375 INR,in stock,new,Malaria Parasites -,[link removed],[link removed]
Malarial Dual Antigen -,RKHS-1007,₹700.00,₹560.00,20%,INR,700 INR,in stock,new,Malarial Dual Antigen -,[link removed],[link removed]
PT - (P-TIME),RKHS-1008,₹450.00,₹360.00,20%,INR,450 INR,in stock,new,PT - (P-TIME),[link removed],[link removed]
APTT KOLKATA,RKHS-1009,₹418.00,₹334.40,20%,INR,418 INR,in stock,new,APTT KOLKATA,[link removed],[link removed]
Blood Group -,RKHS-1010,₹220.00,₹176.00,20%,INR,220 INR,in stock,new,Blood Group -,[link removed],[link removed]
FBS -,RKHS-1011,₹70.00,₹56.00,20%,INR,70 INR,in stock,new,FBS -,[link removed],[link removed]
PPBS -,RKHS-1012,₹70.00,₹56.00,20%,INR,70 INR,in stock,new,PPBS -,[link removed],[link removed]
RBS -,RKHS-1013,₹70.00,₹56.00,20%,INR,70 INR,in stock,new,RBS -,[link removed],[link removed]
CRP(C-REACTIVE PROTEIN) -,RKHS-1014,₹750.00,₹600.00,20%,INR,750 INR,in stock,new,CRP(C-REACTIVE PROTEIN) -,[link removed],[link removed]
Urea,RKHS-1015,₹165.00,₹132.00,20%,INR,165 INR,in stock,new,Urea,[link removed],[link removed]
Creatinine -,RKHS-1016,₹180.00,₹144.00,20%,INR,180 INR,in stock,new,Creatinine -,[link removed],[link removed]
Sodium (Na+) -,RKHS-1017,₹275.00,₹220.00,20%,INR,275 INR,in stock,new,Sodium (Na+) -,[link removed],[link removed]
Potassium (K+) -,RKHS-1018,₹220.00,₹176.00,20%,INR,220 INR,in stock,new,Potassium (K+) -,[link removed],[link removed]
Chloride(Cl-) -,RKHS-1019,₹275.00,₹220.00,20%,INR,275 INR,in stock,new,Chloride(Cl-) -,[link removed],[link removed]
Electrolytes -,RKHS-1020,₹520.00,₹416.00,20%,INR,520 INR,in stock,new,Electrolytes -,[link removed],[link removed]
Calcium -,RKHS-1021,₹176.00,₹140.80,20%,INR,176 INR,in stock,new,Calcium -,[link removed],[link removed]
Phosphorus -,RKHS-1022,₹200.00,₹160.00,20%,INR,200 INR,in stock,new,Phosphorus -,[link removed],[link removed]
MAGNESIUM -,RKHS-1023,₹440.00,₹352.00,20%,INR,440 INR,in stock,new,MAGNESIUM -,[link removed],[link removed]
Cholesterol,RKHS-1024,₹180.00,₹144.00,20%,INR,180 INR,in stock,new,Cholesterol,[link removed],[link removed]
Triglyceride,RKHS-1025,₹285.00,₹228.00,20%,INR,285 INR,in stock,new,Triglyceride,[link removed],[link removed]
LDL Cholesterol (Direct) -,RKHS-1026,₹300.00,₹240.00,20%,INR,300 INR,in stock,new,LDL Cholesterol (Direct) -,[link removed],[link removed]
Lipid Profile -,RKHS-1027,₹715.00,₹572.00,20%,INR,715 INR,in stock,new,Lipid Profile -,[link removed],[link removed]
Bilirubin,RKHS-1028,₹130.00,₹104.00,20%,INR,130 INR,in stock,new,Bilirubin,[link removed],[link removed]
SGPT,RKHS-1029,₹190.00,₹152.00,20%,INR,190 INR,in stock,new,SGPT,[link removed],[link removed]
SGOT,RKHS-1030,₹190.00,₹152.00,20%,INR,190 INR,in stock,new,SGOT,[link removed],[link removed]
Alkaline Phosphatase -,RKHS-1031,₹210.00,₹168.00,20%,INR,210 INR,in stock,new,Alkaline Phosphatase -,[link removed],[link removed]
Total Protein -,RKHS-1032,₹200.00,₹160.00,20%,INR,200 INR,in stock,new,Total Protein -,[link removed],[link removed]
Protein With A/G Ratio -,RKHS-1033,₹400.00,₹320.00,20%,INR,400 INR,in stock,new,Protein With A/G Ratio -,[link removed],[link removed]
LIVER FUNCTION TEST -,RKHS-1034,"₹1,045.00",₹836.00,20%,INR,1045 INR,in stock,new,LIVER FUNCTION TEST -,[link removed],[link removed]
LIVER FUNCTION TEST WITH GGT -,RKHS-1035,"₹1,250.00","₹1,000.00",20%,INR,1250 INR,in stock,new,LIVER FUNCTION TEST WITH GGT -,[link removed],[link removed]
"RENAL PROFILE - KOLKATA - (urine, serum)",RKHS-1036,"₹1,150.00",₹920.00,20%,INR,1150 INR,in stock,new,"RENAL PROFILE - KOLKATA - (urine, serum)",[link removed],[link removed]
Kidney Function Test - (only serum),RKHS-1037,₹320.00,₹256.00,20%,INR,320 INR,in stock,new,Kidney Function Test - (only serum),[link removed],[link removed]
TSH,RKHS-1038,₹275.00,₹220.00,20%,INR,275 INR,in stock,new,TSH,[link removed],[link removed]
Thyroid Function Test -,RKHS-1039,₹455.00,₹364.00,20%,INR,455 INR,in stock,new,Thyroid Function Test -,[link removed],[link removed]
FREE THYROID SCREEN CGR,RKHS-1040,"₹1,045.00",₹836.00,20%,INR,1045 INR,in stock,new,FREE THYROID SCREEN CGR,[link removed],[link removed]
THYROID PROFILE -(5 parameter),RKHS-1041,"₹2,000.00","₹1,600.00",20%,INR,2000 INR,in stock,new,THYROID PROFILE -(5 parameter),[link removed],[link removed]
FSH -,RKHS-1042,₹500.00,₹400.00,20%,INR,500 INR,in stock,new,FSH -,[link removed],[link removed]
LH-,RKHS-1043,₹500.00,₹400.00,20%,INR,500 INR,in stock,new,LH-,[link removed],[link removed]
Prolactin,RKHS-1044,₹500.00,₹400.00,20%,INR,500 INR,in stock,new,Prolactin,[link removed],[link removed]
Vitamin D -,RKHS-1045,"₹1,280.00","₹1,024.00",20%,INR,1280 INR,in stock,new,Vitamin D -,[link removed],[link removed]
B12 Level -,RKHS-1046,₹990.00,₹792.00,20%,INR,990 INR,in stock,new,B12 Level -,[link removed],[link removed]
Progesterone -,RKHS-1047,₹605.00,₹484.00,20%,INR,605 INR,in stock,new,Progesterone -,[link removed],[link removed]
WIDAL SLIDE.,RKHS-1048,₹330.00,₹264.00,20%,INR,330 INR,in stock,new,WIDAL SLIDE.,[link removed],[link removed]
Typhi DoT. by card,RKHS-1049,₹600.00,₹480.00,20%,INR,600 INR,in stock,new,Typhi DoT. by card,[link removed],[link removed]
Dengue Ns 1 Antigen,RKHS-1050,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,Dengue Ns 1 Antigen,[link removed],[link removed]
Dengue IgG (ELISA),RKHS-1051,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,Dengue IgG (ELISA),[link removed],[link removed]
Dengue IgM (ELISA),RKHS-1052,₹660.00,₹528.00,20%,INR,660 INR,in stock,new,Dengue IgM (ELISA),[link removed],[link removed]
HIV I & II - Rapid -,RKHS-1053,₹475.00,₹380.00,20%,INR,475 INR,in stock,new,HIV I & II - Rapid -,[link removed],[link removed]
ANTI HCV - RAPID -,RKHS-1054,₹935.00,₹748.00,20%,INR,935 INR,in stock,new,ANTI HCV - RAPID -,[link removed],[link removed]
HbsAg By Rapid -,RKHS-1055,₹450.00,₹360.00,20%,INR,450 INR,in stock,new,HbsAg By Rapid -,[link removed],[link removed]
"Rpr, (VDRL SERUM)",RKHS-1056,₹220.00,₹176.00,20%,INR,220 INR,in stock,new,"Rpr, (VDRL SERUM)",[link removed],[link removed]
Urine Routine Examination -,RKHS-1057,₹300.00,₹240.00,20%,INR,300 INR,in stock,new,Urine Routine Examination -,[link removed],[link removed]
CS Urine -,RKHS-1058,₹950.00,₹760.00,20%,INR,950 INR,in stock,new,CS Urine -,[link removed],[link removed]
Stool Examination,RKHS-1059,₹220.00,₹176.00,20%,INR,220 INR,in stock,new,Stool Examination,[link removed],[link removed]
Stool Occult Blood -,RKHS-1060,₹300.00,₹240.00,20%,INR,300 INR,in stock,new,Stool Occult Blood -,[link removed],[link removed]
CS Stool -,RKHS-1061,₹450.00,₹360.00,20%,INR,450 INR,in stock,new,CS Stool -,[link removed],[link removed]
Z N Stain (Afb Stain) - SPUTUM,RKHS-1062,₹310.00,₹248.00,20%,INR,310 INR,in stock,new,Z N Stain (Afb Stain) - SPUTUM,[link removed],[link removed]
CS-SPUTUM,RKHS-1063,₹500.00,₹400.00,20%,INR,500 INR,in stock,new,CS-SPUTUM,[link removed],[link removed]
PSA -,RKHS-1064,₹935.00,₹748.00,20%,INR,935 INR,in stock,new,PSA -,[link removed],[link removed]
"Microalbumin/Creatinine Ratio, Urine -",RKHS-1065,₹790.00,₹632.00,20%,INR,790 INR,in stock,new,"Microalbumin/Creatinine Ratio, Urine -",[link removed],[link removed]
